nombre del gen,nÂ°MIM
FBN1,134797
HBB,141900
UBA2,613295
PRNP,176640
DCN,125255
NOG,185800
SHQ1,613663
GRIA3,305915
WNT10A,606268
GCK,138079
COL4A5,303630
EPS8,600206
SLC5A2,182381
BCL11B,606558
PTCH1,601309
TMEM38B,611236
KCTD3,613272
HCN1,602780
HECW2,617245
SAMD9,610456
MSX1,142983
TAB2,605101
DHX30,616423
PAX4,167413
SPAST,604277
EPCAM,185535
COL4A1,120130
COL27A1,608461
ZSWIM6,615951
KCNK12,607366
KLHL15,300980
PDHA1,300502
SMC1A,300040
COL7A1,120120
SGCE,604149
COL2A1,120140
PTRH2,608625
FREM2,608945
GATA3,131320
PHEX,300550
NTHL1,602656
CASK,300172
TGFBR1,190181
NAV3,611629
NHLRC1,254780
BRCA2,600185
KAT6B,605880
ADAT3,615302
CHD7,608892
LARP7,612026
CSNK2A1,115440
RNF213,613768
TUBB4A,602662
BBS10,610148
CLCN7,602727
GP9,173515
PAX3,606597
SLC52A3,613350
DHCR7,602858
MKRN3,603856
FLNA,300017
ERC,609413
FBXL4,605654
PRDM13,616741
USP45,618439
ACADM,607008
ATP1A3,182350
CCNC,123838
ATRX,300032
POU3F2,600494
GRID2,602368
WASF1,605035
ASL,608310
BCOR,300485
SPEG,615950
AR,313700
AKT3,611223
HIBCH,610690
EVC2,607261
FH,136850
PURA,600473
DYRK1A,600855
B3GALNT2,610194
ACAN,155760
DNMT3A,602769
GRIN1,138249
ARX,300382
CNST,613439
DAG1,128239
PBX1,176310